timestamp,country,price,load_actual,load_forecast,solar_forecast,solar_actual,wind_forecast,wind_actual,re_penetration
2025-01-01 01:00:00,BE,10.27,7746.7775,8217.655,0.0,0.0,2156.28,1920.23,0.247874681
2025-01-01 01:00:00,GR,134.06,4376.0,4409.0,0.0,0.0,606.0,608.0,0.138939671
2025-01-01 02:00:00,GR,124.42,4150.0,4198.0,0.0,0.0,591.0,648.0,0.156144578
2025-01-01 02:00:00,BE,8.38,7476.8925,8000.22,0.0,0.0,2174.63,2102.19,0.281158249
2025-01-01 03:00:00,BE,6.61,7227.735,7830.1175,0.0,0.0,2190.33,1991.09,0.275479109
2025-01-01 03:00:00,GR,118.6,3984.0,4066.0,0.0,0.0,571.0,624.0,0.156626506
2025-01-01 04:00:00,BE,2.29,7164.32,7726.265,0.0,0.0,2195.38,2036.87,0.284307513
2025-01-01 04:00:00,GR,112.38,3965.0,4076.0,0.0,0.0,542.0,624.0,0.157377049
2025-01-01 05:00:00,BE,3.01,7177.0475,7671.9725,0.0,0.0,2196.13,2002.39,0.278999129
2025-01-01 05:00:00,GR,108.0,4078.0,4222.0,0.0,0.0,500.0,558.0,0.13683178
2025-01-01 06:00:00,GR,107.99,4302.0,4451.0,0.0,8.0,447.0,556.0,0.131101813
2025-01-01 06:00:00,BE,3.52,7326.7075,7664.8375,0.0,0.0,2200.23,2008.21,0.274094469
2025-01-01 07:00:00,GR,96.63,4556.0,4746.0,703.0,720.0,385.0,436.0,0.253731343
2025-01-01 07:00:00,BE,2.55,7420.545,7607.41,0.735,0.055,2214.55,2000.87,0.269646636
2025-01-01 08:00:00,GR,29.22,5017.0,5231.0,2692.0,2798.0,322.0,404.0,0.638230018
2025-01-01 08:00:00,BE,4.24,7527.42,7653.535,1.47,0.11,2234.55,1893.84,0.251606792
2025-01-01 09:00:00,GR,41.43,5445.0,5616.0,4272.0,4504.0,270.0,266.0,0.876033058
2025-01-01 09:00:00,BE,7.5,7764.67,7818.0975,69.11,61.91,2256.93,2011.5,0.26703131
2025-01-01 10:00:00,GR,28.98,5754.0,5913.0,5133.0,5299.0,234.0,229.0,0.960722975
2025-01-01 10:00:00,BE,15.91,8252.335,8110.0125,210.63,195.66,2281.33,1967.34,0.262107634
